epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.777,1.55917,1.81083,1.43518,0.51725,0.44158,0.44014,0.21558,1.73491,1.828,1.63898,0.000664319,0.000664319,0.000664319
2,123.47,1.72954,1.79485,1.58392,0.45834,0.39491,0.36916,0.17073,1.88355,1.97784,1.81976,0.00131781,0.00131781,0.00131781
3,182.882,1.76225,1.80034,1.61878,0.46619,0.37242,0.34973,0.15951,1.9028,2.13103,1.8362,0.0019581,0.0019581,0.0019581
4,241.722,1.75985,1.807,1.6308,0.45124,0.41312,0.3634,0.16201,1.84339,2.31638,1.72893,0.0019406,0.0019406,0.0019406
5,304.762,1.71976,1.74362,1.60612,0.52025,0.4413,0.43812,0.21194,1.7425,1.83219,1.65445,0.0019208,0.0019208,0.0019208
6,366.741,1.6913,1.70529,1.58439,0.53321,0.4446,0.44001,0.21001,1.77296,1.72312,1.65251,0.001901,0.001901,0.001901
7,434.8,1.66795,1.6598,1.56858,0.56671,0.45553,0.47126,0.23447,1.7264,1.64759,1.63199,0.0018812,0.0018812,0.0018812
8,493.488,1.65214,1.64033,1.57062,0.54562,0.47161,0.48028,0.24229,1.6891,1.58734,1.61237,0.0018614,0.0018614,0.0018614
9,551.456,1.64356,1.61275,1.54815,0.58518,0.47147,0.50327,0.25706,1.67128,1.60945,1.58127,0.0018416,0.0018416,0.0018416
10,608.887,1.61339,1.57943,1.53314,0.56491,0.46848,0.49346,0.25555,1.64186,1.5942,1.56996,0.0018218,0.0018218,0.0018218
11,665.373,1.60504,1.56673,1.52739,0.59802,0.48954,0.51709,0.27448,1.62479,1.48696,1.55812,0.001802,0.001802,0.001802
12,722.655,1.59127,1.54761,1.51444,0.59647,0.49011,0.53012,0.28298,1.59368,1.46383,1.53862,0.0017822,0.0017822,0.0017822
13,783.123,1.5829,1.52437,1.5084,0.57533,0.49637,0.52342,0.27517,1.5895,1.52857,1.53177,0.0017624,0.0017624,0.0017624
14,842.186,1.57983,1.52125,1.50849,0.58889,0.49851,0.52875,0.27474,1.60638,1.449,1.52949,0.0017426,0.0017426,0.0017426
15,901.005,1.56074,1.48958,1.50035,0.61134,0.51487,0.54892,0.28312,1.60273,1.47518,1.54788,0.0017228,0.0017228,0.0017228
16,960.063,1.56056,1.48206,1.48946,0.62295,0.52284,0.55703,0.29812,1.56005,1.37432,1.50419,0.001703,0.001703,0.001703
