epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7108,1.53244,2.19705,1.53826,0.39292,0.33984,0.2955,0.12147,2.00335,2.57465,2.0714,0.000664251,0.000664251,0.000664251
2,145.143,1.74532,2.06574,1.71978,0.41359,0.41343,0.34976,0.14885,1.86513,2.51804,1.96972,0.00131774,0.00131774,0.00131774
3,211.882,1.79301,2.05774,1.79062,0.49795,0.46969,0.43383,0.19161,1.81468,2.08822,1.93972,0.00195803,0.00195803,0.00195803
4,278.834,1.76128,1.96261,1.73997,0.56751,0.51217,0.52373,0.24358,1.67701,2.48246,1.8023,0.0019406,0.0019406,0.0019406
5,344.911,1.67848,1.86068,1.68678,0.59774,0.48495,0.50715,0.25501,1.73115,1.78002,1.8148,0.0019208,0.0019208,0.0019208
6,410.993,1.63559,1.78783,1.64735,0.62161,0.5273,0.56314,0.2705,1.75248,1.64296,1.86104,0.001901,0.001901,0.001901
7,476.595,1.62429,1.73624,1.62986,0.54081,0.43248,0.44635,0.21634,1.75348,1.84968,1.86184,0.0018812,0.0018812,0.0018812
8,541.833,1.57046,1.67146,1.60317,0.66463,0.5419,0.59546,0.32059,1.59662,1.48869,1.71463,0.0018614,0.0018614,0.0018614
9,607.692,1.5418,1.63321,1.57507,0.66592,0.55604,0.61638,0.31467,1.59527,1.53722,1.65926,0.0018416,0.0018416,0.0018416
10,673.052,1.51171,1.58017,1.54826,0.67521,0.53075,0.58489,0.31931,1.61684,1.50268,1.73295,0.0018218,0.0018218,0.0018218
11,739.13,1.49949,1.55327,1.53636,0.68736,0.53501,0.6098,0.33479,1.55248,1.41059,1.67039,0.001802,0.001802,0.001802
12,805.668,1.47875,1.52715,1.52652,0.70363,0.57259,0.6389,0.35398,1.50784,1.39386,1.6347,0.0017822,0.0017822,0.0017822
13,871.938,1.45494,1.49686,1.50931,0.72017,0.59442,0.67067,0.37121,1.51459,1.29971,1.60948,0.0017624,0.0017624,0.0017624
